,q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,conversation,context,speakerA,qud,speakerB,anchor,target,instruction,top1_response,top1_logprob,top2_response,top2_logprob,top3_response,top3_logprob,top4_response,top4_logprob,top5_response,top5_logprob
0,1,Crit1,1,whq-acc-negated,whq,acc,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.10785566,5,-2.9984806,6,-3.6859806,4,-4.060981,1,-4.873481
1,2,Crit1,1,whq-acc-repeated,whq,acc,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.7044452,5,-1.1731951,6,-2.2981951,4,-2.5325701,지,-5.3450704
2,3,Crit1,1,whq-acc-contradictory,whq,acc,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.01879535,2,-4.7531705,3,-5.6437955,지,-5.6437955,4,-7.2219205
3,4,Crit1,1,whq-nun-negated,whq,nun,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.25719562,5,-2.3665707,4,-2.8821957,1,-3.0384457,6,-3.7884457
4,5,Crit1,1,whq-nun-repeated,whq,nun,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,4,-1.0021995,7,-1.2365745,1,-1.6896995,5,-2.3615746,6,-3.7365746
5,6,Crit1,1,whq-nun-contradictory,whq,nun,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.010974011,2,-5.370349,3,-5.901599,지,-6.370349,4,-6.917224
6,10,Crit1,1,linkedq-acc-negated,linkedq,acc,negated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.08201387,5,-3.4726388,1,-4.191389,6,-4.253889,4,-4.457014
7,11,Crit1,1,linkedq-acc-repeated,linkedq,acc,repeated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.72918427,5,-1.4323093,4,-2.2916842,6,-2.5416842,1,-2.7916842
8,12,Crit1,1,linkedq-acc-contradictory,linkedq,acc,contradictory,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.0004324573,지,-8.484807,2,-9.781682,이,-10.281682,"
",-10.828557
9,13,Crit1,1,linkedq-nun-negated,linkedq,nun,negated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.66920334,7,-0.95045334,동,-3.7004533,지,-3.9192033,4,-3.9660783
