q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,context,speakerA,qud,speakerB,anchor,target,raw_logprob,normalized_logprob,normalized_surprisal
1,Crit1,1,whq-acc-negated,whq,acc,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,-73.59881928795515,-10.51411704113645,15.168664514573697
2,Crit1,1,whq-acc-repeated,whq,acc,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,-63.72243104306423,-10.62040517384404,15.322005876536284
3,Crit1,1,whq-acc-contradictory,whq,acc,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,-68.64394328428396,-9.806277612040565,14.14746808047139
4,Crit1,1,whq-nun-negated,whq,nun,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,-75.57196753836377,-10.795995362623396,15.575328971117019
5,Crit1,1,whq-nun-repeated,whq,nun,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,-65.0022828947665,-10.833713815794416,15.629745196456854
6,Crit1,1,whq-nun-contradictory,whq,nun,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,-69.03006859617875,-9.861438370882679,14.22704823370458
7,Crit1,1,whq-zero-negated,whq,zero,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면은 안 먹었어.,-72.35879638937129,-10.336970912767327,14.913096673662885
8,Crit1,1,whq-zero-repeated,whq,zero,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면도 먹었어.,-62.35215790148358,-10.39202631691393,14.992524832199326
9,Crit1,1,whq-zero-contradictory,whq,zero,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면만 먹었어.,-68.60745508118873,-9.801065011598391,14.139947887663329
19,Crit2,2,whq-acc-negated,whq,acc,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업은 안 들었어.,-69.39494763926658,-8.674368454908322,12.514468352739897
