,q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,context,speakerA,qud,speakerB,anchor,target,raw_logprob,normalized_logprob,normalized_surprisal
0,1,Crit1,1,whq-acc-negated,whq,acc,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,-90.11553929040976,-12.873648470058535,18.57274880590124
1,2,Crit1,1,whq-acc-repeated,whq,acc,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,-74.75387197409687,-12.458978662349478,17.974506730713003
2,3,Crit1,1,whq-acc-contradictory,whq,acc,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,-73.43041595525195,-12.238402659208658,17.656282824842634
3,4,Crit1,1,whq-nun-negated,whq,nun,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,-91.44671064566002,-13.06381580652286,18.847102279157383
4,5,Crit1,1,whq-nun-repeated,whq,nun,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,-72.91334915868347,-12.15222485978058,17.53195454097302
5,6,Crit1,1,whq-nun-contradictory,whq,nun,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,-73.13886874354858,-12.189811457258095,17.586180538757723
6,7,Crit1,1,whq-zero-negated,whq,zero,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면은 안 먹었어.,-89.79498384795019,-12.827854835421457,18.50668255630605
7,8,Crit1,1,whq-zero-repeated,whq,zero,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면도 먹었어.,-74.07016194400332,-12.34502699066722,17.810109219076
8,9,Crit1,1,whq-zero-contradictory,whq,zero,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면만 먹었어.,-71.96037408480242,-11.993395680800404,17.302812472109856
9,19,Crit2,2,whq-acc-negated,whq,acc,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업은 안 들었어.,-95.68119855369918,-11.960149819212395,17.254848832466756
10,20,Crit2,2,whq-acc-repeated,whq,acc,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업도 들었어.,-81.11542955944128,-11.587918508491612,16.71783256642628
11,21,Crit2,2,whq-acc-contradictory,whq,acc,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업만 들었어.,-78.5159656996768,-11.216566528525258,16.182084906504524
12,22,Crit2,2,whq-nun-negated,whq,nun,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업은 안 들었어.,-97.08113828567458,-12.135142285709325,17.5073095960748
13,23,Crit2,2,whq-nun-repeated,whq,nun,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업도 들었어.,-81.39218963243671,-11.627455661776674,16.774872621401506
14,24,Crit2,2,whq-nun-contradictory,whq,nun,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업만 들었어.,-80.23773613161019,-11.46253373308717,16.536940572747316
15,25,Crit2,2,whq-zero-negated,whq,zero,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업은 안 들었어.,-94.49250291955242,-11.811562864944053,17.04048317040302
16,26,Crit2,2,whq-zero-repeated,whq,zero,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업도 들었어.,-80.0026407427425,-11.428948677534644,16.488487579653707
17,27,Crit2,2,whq-zero-contradictory,whq,zero,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업만 들었어.,-78.02750917992327,-11.146787025703324,16.081414363827623
18,37,Crit3,3,whq-acc-negated,whq,acc,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기는 못 잡았어.,-112.21917129726629,-14.027396412158286,20.2372552404044
