,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
0,1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.16410811725584212,-0.5564084803281095,-0.33077248088784117,-0.772089610216006,-0.744804360997437,-1.001408062870908,-0.43254085366923,-0.27207951377217,-0.43254083866923,-0.27203683593816,-0.6714381944098875,-0.9287592307884474
1,2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.16463910931971582,-1.3354169677786,-0.33077248088784117,-1.7005257405416179,-0.744804360997437,-1.6038822325133182,-0.6714381944098875,-0.4033493918668264,-0.43254083866923,-1.172463117775025,-0.6714381944098875,-0.4033493918668264
2,3,Crit1,1,LinkedWhQ-One,LinkedWhQ,One,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.22214195937213158,-0.6552969957628133,-0.42900287968235296,-0.916184225065547,-0.8211241408807369,-0.9125941568975421,-0.60891758680512,-0.3260367669341985,-0.6128253945841199,-0.3260367669341985,-0.32683498133289995,-0.7559550320466647
3,4,Crit1,1,LinkedWhQ-Both,LinkedWhQ,Both,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.2217637177686105,-1.7495472239414422,-0.4281310622942118,-1.834468963861196,-0.8213116077893158,-2.004291861495807,-0.32683498133289995,-0.4858756120201579,-0.6128253945841199,-1.1702798115428164,-0.32683498133289995,-0.4858756120201579
4,5,Crit1,1,DQ-One,DQ,One,동욱: 정아는 김밥이나 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 김밥이나 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.2029424878711316,-0.5735960348224963,-0.3367675009932941,-0.6464354093144029,-0.37125713010642103,-0.6795146359757763,-0.3182169055998,-0.23316108465254395,-0.3182169055998,-0.23316108465254395,-0.35895393742230003,-0.7717172504036915
5,6,Crit1,1,DQ-Both,DQ,Both,동욱: 정아는 김밥이나 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 김밥이나 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.2029424878711316,-1.6803161332873422,-0.3367675009932941,-1.746077705119765,-0.37125713010642103,-1.7414499847487892,-0.35897182963396107,-0.5196926269565973,-0.3182169055998,-1.19426848305915,-0.35897182963396107,-0.5196926269565973
6,7,Crit1,1,CQ-One,CQ,One,동욱: 정아는 김밥이랑 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.5523185355812107,-0.496224944297479,-0.5192153857947059,-0.6094750343410471,-0.5040961605423159,-0.5017291125711895,-0.4355561634933,-0.15441964347236,-0.4355561634933,-0.15441964347236,-0.44769680157783054,-0.592168338137816
7,8,Crit1,1,CQ-Both,CQ,Both,동욱: 정아는 김밥이랑 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-0.5481537708587894,-2.1632382164123283,-0.5192153857947059,-1.9466644107433704,-0.5040961605423159,-2.0018845752125736,-0.44769680157783054,-0.7171224582652694,-0.43589258040350004,-1.6018508132348146,-0.44769680157783054,-0.7171224582652694
8,9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-0.3948613148727771,-0.3898166864739583,-0.5580784217541206,-0.6849839333641818,-0.7019005256406521,-0.6889675152107083,-0.673130301388252,-0.11668147097386601,-0.673130301388252,-0.11668147097386601,-0.6772303693276651,-0.6232268173941403
9,10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-0.39672575406256877,-0.9956506172599168,-0.5592689290525296,-1.2966430362789092,-0.7019005256406521,-1.2118801929431668,-0.6772303693276651,-0.41193261149051685,-0.673130301388252,-0.8095140652734,-0.6772303693276651,-0.41193261149051685
