Unnamed: 0,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
0,1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-11.167079985454096,-10.859831982481786,-10.71705161755525,-10.347628005014643,-10.532563113647448,-10.471273097198097,-11.142166102984824,-11.04622363072305,-11.142166102984824,-11.04622363072305,-10.11546711281234,-10.086548950489457
1,2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-11.167079985454096,-11.03796404482044,-10.71705161755525,-10.58092569074114,-10.532563113647448,-10.878768298842957,-10.11546711281234,-10.293497834191664,-11.142166102984824,-11.154204424154074,-10.11546711281234,-10.293497834191664
8,9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-10.314498104131577,-10.709591406145137,-9.570727088647226,-9.992080598456711,-9.544262926889644,-10.033108539194476,-10.165641990927757,-10.644545541773333,-10.165641990927757,-10.644545541773333,-9.214405107785431,-9.67465603438952
9,10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-10.314498104131577,-10.712474125726605,-9.570727088647226,-9.979807583054525,-9.544262926889644,-9.822481629126004,-9.214405107785431,-9.759347164063888,-10.165641990927757,-10.900119727249544,-9.214405107785431,-9.759347164063888
16,17,Crit3,3,WhQ-One,WhQ,One,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어만 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-12.036567458238498,-12.633531079383229,-11.39076350982142,-12.058095433076254,-11.321701260075722,-11.733795188134708,-11.21199479629945,-12.453189648027797,-11.21199479629945,-12.453189648027797,-12.143992041991856,-12.363535423479552
17,18,Crit3,3,WhQ-Both,WhQ,Both,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어랑 메기를 둘 다 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-12.036567458238498,-12.684816644134123,-11.39076350982142,-12.19940477813224,-11.321701260075722,-11.840386791840126,-12.143992041991856,-12.571187677989554,-11.21199479629945,-12.48411656402762,-12.143992041991856,-12.571187677989554
24,25,Crit4,4,WhQ-One,WhQ,One,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발만 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-11.79494515834767,-11.524882533626474,-11.529657130648364,-11.077034500400178,-11.627381576140346,-11.307550658177206,-12.11166478821506,-11.237889056690769,-12.11166478821506,-11.237889056690769,-11.06575484865638,-10.908540606085488
25,26,Crit4,4,WhQ-Both,WhQ,Both,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발이랑 가방을 둘 다 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-11.79494515834767,-11.72459983701686,-11.529657130648364,-11.343879971798122,-11.627381576140346,-11.478463354298936,-11.06575484865638,-11.1283837124538,-12.11166478821506,-11.869056055323624,-11.06575484865638,-11.1283837124538
32,33,Crit5,5,WhQ-One,WhQ,One,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-12.209708089199134,-12.38906916838522,-11.862035428190817,-12.198717862482416,-11.881472519082088,-11.935767859109282,-11.70517007985896,-12.087619269895349,-11.70517007985896,-12.087619269895349,-11.796309525645151,-12.078274935569704
33,34,Crit5,5,WhQ-Both,WhQ,Both,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-12.209708089199134,-12.357380023906094,-11.862035428190817,-12.153216985703612,-11.881472519082088,-11.71635033556462,-11.796309525645151,-12.164940440562669,-11.70517007985896,-12.137438093201968,-11.796309525645151,-12.164940440562669
