,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
0,1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-9.657213673444074,-9.96441497542734,-8.18903570751455,-8.634905501477126,-8.56615953954144,-8.856100418682278,-8.546754938323662,-8.98508173010542,-8.546754938323662,-8.98508173010542,-9.274890686651236,-10.054941055741542
1,2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-9.657213673444074,-10.049127950391458,-8.18903570751455,-8.622610110880554,-8.56615953954144,-8.895671901125581,-9.274890686651236,-10.444363092166242,-8.546754938323662,-9.061231704576935,-9.274890686651236,-10.444363092166242
8,9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-8.336110607857284,-8.717932090771408,-7.510625615117746,-7.605122926144353,-8.081543770252155,-8.103443061667635,-8.086041630448166,-8.265339282730412,-8.086041630448166,-8.265339282730412,-8.883689045536522,-9.640462498057696
9,10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-8.336110607857284,-8.656274137670474,-7.510625615117746,-7.39692392923821,-8.081543770252155,-7.9144663397691755,-8.883689045536522,-9.83933549696579,-8.086041630448166,-8.168865655345563,-8.883689045536522,-9.83933549696579
16,17,Crit3,3,WhQ-One,WhQ,One,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어만 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.180631710328784,-11.864663281064487,-9.24929306300882,-9.882068072208716,-10.320017373146522,-10.826333878509452,-8.835375880559464,-9.881517243886615,-8.835375880559464,-9.881517243886615,-9.742357997172176,-10.853377139190501
17,18,Crit3,3,WhQ-Both,WhQ,Both,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어랑 메기를 둘 다 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.180631710328784,-11.795597759750395,-9.24929306300882,-9.707925549499466,-10.320017373146522,-10.838521384276644,-9.742357997172176,-10.96060925621958,-8.835375880559464,-9.669362222965967,-9.742357997172176,-10.96060925621958
24,25,Crit4,4,WhQ-One,WhQ,One,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발만 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-10.669960046537273,-10.965999258479936,-9.296754476113612,-9.957886513753284,-9.49082473753549,-10.034591376113845,-9.119651405133148,-9.566423682650456,-9.119651405133148,-9.566423682650456,-9.837490641392602,-10.122504443806482
25,26,Crit4,4,WhQ-Both,WhQ,Both,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발이랑 가방을 둘 다 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-10.669960046537273,-10.827804910767227,-9.296754476113612,-9.66606566571755,-9.49082473753549,-9.75507864932938,-9.837490641392602,-10.83439067890794,-9.119651405133148,-9.430599181745183,-9.837490641392602,-10.83439067890794
32,33,Crit5,5,WhQ-One,WhQ,One,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-11.72932569597775,-11.697567953510099,-11.027125976155508,-11.2436263868533,-11.36194819589217,-11.429072873750334,-11.086286318860259,-11.207433525969133,-11.086286318860259,-11.207433525969133,-10.98649169404707,-12.067958313891625
33,34,Crit5,5,WhQ-Both,WhQ,Both,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-11.72932569597775,-11.628110769046234,-11.027125976155508,-11.173563639469284,-11.36194819589217,-11.434390627252418,-10.98649169404707,-12.300003734831344,-11.086286318860259,-11.357800817882742,-10.98649169404707,-12.300003734831344
