q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,chat_question_simple,chat_question_full,acc_null_v1,acc_null_v2,nun_null_v1,nun_null_v2,acc_null_v1_response,acc_null_v1_coded,acc_null_v2_response,acc_null_v2_coded,acc_null_coded,nun_null_v1_response,nun_null_v1_coded,nun_null_v2_response,nun_null_v2_coded,nun_null_coded
1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 문장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥을 먹었어.,lul,김밥 먹었어.,zero,random,김밥 먹었어.,zero,김밥 먹었어.,zero,zero
2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥 먹었어.,zero,김밥을 먹었어.,lul,random,김밥 먹었어.,zero,김밥 먹었어.,zero,zero
3,Crit1,1,LinkedWhQ-One,LinkedWhQ,One,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥을 먹었어.,lul,김밥 먹었어.,zero,random,김밥 먹었어.,zero,김밥 먹었어.,zero,zero
4,Crit1,1,LinkedWhQ-Both,LinkedWhQ,Both,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥 먹었어.,zero,김밥 먹었어.,zero,zero,김밥 먹었어.,zero,김밥 먹었어.,zero,zero
5,Crit1,1,DQ-One,DQ,One,동욱: 정아는 김밥이나 라면 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 김밥이나 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥을 먹었어.,lul,김밥 먹었어.,zero,random,김밥은 먹었어.,nun,김밥 먹었어.,zero,random
6,Crit1,1,DQ-Both,DQ,Both,동욱: 정아는 김밥이나 라면 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 김밥이나 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이나 라면 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥을 먹었어.,lul,김밥을 먹었어.,lul,lul,김밥은 먹었어.,nun,김밥은 먹었어.,nun,nun
7,Crit1,1,CQ-One,CQ,One,동욱: 정아는 김밥이랑 라면 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호:,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥을 먹었어.,lul,김밥 먹었어.,zero,random,김밥은 먹었어.,nun,김밥 먹었어.,zero,random
8,Crit1,1,CQ-Both,CQ,Both,동욱: 정아는 김밥이랑 라면 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호:,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 김밥이랑 라면 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,아래에 주어진 두 개의 문장들 중 지호가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지호가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지호가 보내기에 최선이라고 생각하는 답장을 선택해 주세요.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥을 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어. 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥은 먹었어. 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 김밥이랑 라면 먹었어? 지호: 김밥 먹었어. 김밥은 먹었어.,김밥을 먹었어.,lul,김밥 먹었어.,zero,random,김밥 먹었어.,zero,김밥 먹었어.,zero,zero
9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜:,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜:,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,아래에 주어진 두 개의 문장들 중 지혜가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지혜가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지혜가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 전공 수업은 들었어.,전공 수업을 들었어.,lul,전공 수업을 들었어.,lul,lul,전공 수업 들었어.,zero,전공 수업 들었어.,zero,zero
10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜:,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜:,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,아래에 주어진 두 개의 문장들 중 지혜가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지혜가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지혜가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 전공 수업은 들었어.,전공 수업을 들었어.,lul,전공 수업 들었어.,zero,random,전공 수업 들었어.,zero,전공 수업 들었어.,zero,zero
