,q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,context,speakerA,qud,speakerB,anchor,target,raw_logprob,normalized_logprob,normalized_surprisal
0,1,Crit1,1,whq-acc-negated,whq,acc,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,-14.6818001264113,-0.6991333393529191,1.008636201604597
1,2,Crit1,1,whq-acc-repeated,whq,acc,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,-11.567979983323928,-0.6088410517538909,0.8783719660549593
2,3,Crit1,1,whq-acc-contradictory,whq,acc,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,-18.12760476243695,-0.9540844611808921,1.3764529207348917
3,4,Crit1,1,whq-nun-negated,whq,nun,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,-4.372414726296399,-0.20821022506173328,0.3003838591589376
4,5,Crit1,1,whq-nun-repeated,whq,nun,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,-5.090924660890701,-0.2679434032047737,0.38656061904243905
5,6,Crit1,1,whq-nun-contradictory,whq,nun,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,-11.706157153670727,-0.6161135344037225,0.8888639407088221
6,7,Crit1,1,whq-zero-negated,whq,zero,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면은 안 먹었어.,-13.900701685554939,-0.6619381755026161,0.9549749231727125
7,8,Crit1,1,whq-zero-repeated,whq,zero,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면도 먹었어.,-10.595024094984138,-0.5576328471044283,0.8044941431543521
8,9,Crit1,1,whq-zero-contradictory,whq,zero,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면만 먹었어.,-16.541776908437996,-0.8706198372862103,1.2560389217523718
9,10,Crit1,1,linkedq-acc-negated,linkedq,acc,negated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,-16.661691768803944,-0.7934138937525688,1.144654289889234
10,11,Crit1,1,linkedq-acc-repeated,linkedq,acc,repeated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,-24.243891565479398,-1.2759942929199684,1.8408706385982578
11,12,Crit1,1,linkedq-acc-contradictory,linkedq,acc,contradictory,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,-30.959545969873002,-1.6294497878880527,2.350799128363667
12,13,Crit1,1,linkedq-nun-negated,linkedq,nun,negated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,-7.3947390035472,-0.3521304287403429,0.5080168232897972
13,14,Crit1,1,linkedq-nun-repeated,linkedq,nun,repeated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,-14.043072843063602,-0.7391090970033475,1.0663090289226491
14,15,Crit1,1,linkedq-nun-contradictory,linkedq,nun,contradictory,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,-25.062491342028004,-1.3190784916856844,1.9030279984982308
15,16,Crit1,1,linkedq-zero-negated,linkedq,zero,negated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥 먹었어.,라면은 안 먹었어.,-15.6191813366473,-0.7437705398403476,1.0730340693869767
16,17,Crit1,1,linkedq-zero-repeated,linkedq,zero,repeated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥 먹었어.,라면도 먹었어.,-22.5742369620626,-1.1881177348454,1.714091564053687
17,18,Crit1,1,linkedq-zero-contradictory,linkedq,zero,contradictory,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥 먹었어.,라면만 먹었어.,-28.875131190704003,-1.5197437468791581,2.1925267670445736
18,19,Crit2,2,whq-acc-negated,whq,acc,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업은 안 들었어.,-11.604752290447303,-0.42980564038693714,0.6200784659323394
19,20,Crit2,2,whq-acc-repeated,whq,acc,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업도 들었어.,-6.9503611292313,-0.278014445169252,0.4010900613411764
20,21,Crit2,2,whq-acc-contradictory,whq,acc,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업만 들었어.,-14.41942674009495,-0.576777069603798,0.8321134180158678
21,22,Crit2,2,whq-nun-negated,whq,nun,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업은 안 들었어.,-6.1360743399397,-0.22726201259035927,0.3278697785465565
22,23,Crit2,2,whq-nun-repeated,whq,nun,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업도 들었어.,-6.90250633187785,-0.276100253275114,0.39832846618819373
23,24,Crit2,2,whq-nun-contradictory,whq,nun,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업만 들었어.,-13.93228721731135,-0.557291488692454,0.8040016670662313
24,25,Crit2,2,whq-zero-negated,whq,zero,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업은 안 들었어.,-11.26917393926858,-0.41737681256550296,0.6021474576702935
25,26,Crit2,2,whq-zero-repeated,whq,zero,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업도 들었어.,-6.57468673517493,-0.2629874694069972,0.3794107179294128
26,27,Crit2,2,whq-zero-contradictory,whq,zero,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업만 들었어.,-13.802982112348582,-0.5521192844939433,0.7965397537185748
27,28,Crit2,2,linkedq-acc-negated,linkedq,acc,negated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업은 안 들었어.,-6.599378038701331,-0.24442140884079003,0.3526255544217016
28,29,Crit2,2,linkedq-acc-repeated,linkedq,acc,repeated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업도 들었어.,-13.220790600043731,-0.5288316240017492,0.7629427614125804
29,30,Crit2,2,linkedq-acc-contradictory,linkedq,acc,contradictory,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업만 들었어.,-16.083745037681332,-0.6433498015072533,0.9281575681914132
30,31,Crit2,2,linkedq-nun-negated,linkedq,nun,negated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업은 안 들었어.,-1.50291988362325,-0.055663699393453704,0.08030574307246968
31,32,Crit2,2,linkedq-nun-repeated,linkedq,nun,repeated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업도 들었어.,-7.50019782082425,-0.30000791283297,0.4328199280715742
32,33,Crit2,2,linkedq-nun-contradictory,linkedq,nun,contradictory,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업만 들었어.,-15.320731643013252,-0.6128292657205301,0.8841257425666337
33,34,Crit2,2,linkedq-zero-negated,linkedq,zero,negated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업은 안 들었어.,-6.38721461641966,-0.23656350431183928,0.34128899452600553
34,35,Crit2,2,linkedq-zero-repeated,linkedq,zero,repeated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업도 들었어.,-13.675490144929661,-0.5470196057971864,0.7891824725526364
35,36,Crit2,2,linkedq-zero-contradictory,linkedq,zero,contradictory,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업만 들었어.,-17.47574488722131,-0.6990297954888525,1.0084868193853938
36,37,Crit3,3,whq-acc-negated,whq,acc,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기는 못 잡았어.,-14.648998679726636,-0.6658635763512107,0.9606380795104813
37,38,Crit3,3,whq-acc-repeated,whq,acc,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기도 잡았어.,-14.98399406929665,-0.7886312668050868,1.1377544177096797
38,39,Crit3,3,whq-acc-contradictory,whq,acc,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기만 잡았어.,-21.302268235594,-1.1211720123996842,1.6175093022725238
39,40,Crit3,3,whq-nun-negated,whq,nun,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기는 못 잡았어.,-9.672551047735,-0.4396614112606818,0.6342973376960286
40,41,Crit3,3,whq-nun-repeated,whq,nun,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기도 잡았어.,-12.53305898240515,-0.6596346832844816,0.9516516863728836
41,42,Crit3,3,whq-nun-contradictory,whq,nun,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기만 잡았어.,-19.0871565253825,-1.0045871855464474,1.4493129507284606
42,43,Crit3,3,whq-zero-negated,whq,zero,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기는 못 잡았어.,-13.00619561008933,-0.591190709549515,0.8529079048867129
43,44,Crit3,3,whq-zero-repeated,whq,zero,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기도 잡았어.,-13.710475061896,-0.7216039506261053,1.0410544410541664
44,45,Crit3,3,whq-zero-contradictory,whq,zero,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기만 잡았어.,-20.138179000702,-1.0599041579316841,1.5291184724656333
45,46,Crit3,3,linkedq-acc-negated,linkedq,acc,negated,창욱: 태연이는 잉어랑 메기 중에 뭘 잡았어? 나영: 잉어를 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 잉어랑 메기 중에 뭘 잡았어?,나영,잉어를 잡았어.,메기는 못 잡았어.,-17.349968659203,-0.7886349390546818,1.1377597156459593
46,47,Crit3,3,linkedq-acc-repeated,linkedq,acc,repeated,창욱: 태연이는 잉어랑 메기 중에 뭘 잡았어? 나영: 잉어를 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 잉어랑 메기 중에 뭘 잡았어?,나영,잉어를 잡았어.,메기도 잡았어.,-26.673881395324997,-1.4038884944907892,2.0253829689629343
47,48,Crit3,3,linkedq-acc-contradictory,linkedq,acc,contradictory,창욱: 태연이는 잉어랑 메기 중에 뭘 잡았어? 나영: 잉어를 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 잉어랑 메기 중에 뭘 잡았어?,나영,잉어를 잡았어.,메기만 잡았어.,-29.319961311175,-1.5431558584828948,2.2263033043520233
48,49,Crit3,3,linkedq-nun-negated,linkedq,nun,negated,창욱: 태연이는 잉어랑 메기 중에 뭘 잡았어? 나영: 잉어는 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 잉어랑 메기 중에 뭘 잡았어?,나영,잉어는 잡았어.,메기는 못 잡았어.,-13.8152341430859,-0.6279651883220864,0.905962263043178
49,50,Crit3,3,linkedq-nun-repeated,linkedq,nun,repeated,창욱: 태연이는 잉어랑 메기 중에 뭘 잡았어? 나영: 잉어는 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 잉어랑 메기 중에 뭘 잡았어?,나영,잉어는 잡았어.,메기도 잡았어.,-20.262305205828,-1.0664371160962105,1.5385435388119306
