,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
0,1,Crit1,1,WhQ-One,WhQ,One,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥만 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면 중에 김밥만 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-12.945626020298018,-13.906093074712627,-11.210463719842492,-12.31228853633047,-11.20467393252832,-12.036625896265438,-11.18322125925521,-12.17829483158789,-11.18322125925521,-12.17829483158789,-11.676067867699402,-12.60443048503992
1,2,Crit1,1,WhQ-Both,WhQ,Both,동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: ,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,김밥 먹었어.,김밥은 먹었어.,김밥이랑 라면을 둘 다 먹었어.,김밥만 먹었어.,김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥만 먹었어.,동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,지호는 정아가 김밥과 라면을 둘 다 먹었다고 답하려고 합니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥이랑 라면을 둘 다 먹었어.,-12.945626020298018,-13.910675478649779,-11.210463719842492,-12.364489255260718,-11.20467393252832,-12.024069663674076,-11.676067867699402,-12.558178898433942,-11.18322125925521,-12.168838352654555,-11.676067867699402,-12.558178898433942
8,9,Crit2,2,WhQ-One,WhQ,One,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업만 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업 중에 전공 수업만 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-11.302314429351961,-10.777634400869282,-9.97675800797595,-10.209367491666143,-10.26353772308672,-9.945369357212979,-10.303956940269593,-10.239088860115253,-10.303956940269593,-10.239088860115253,-10.22079970768783,-10.629314755618955
9,10,Crit2,2,WhQ-Both,WhQ,Both,연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: ,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,전공 수업 들었어.,전공 수업은 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,전공 수업만 들었어.,전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업만 들었어.,연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,지혜는 성호가 전공 수업과 실습 수업을 둘 다 들었다고 답하려고 합니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업이랑 실습 수업을 둘 다 들었어.,-11.302314429351961,-10.95404186905314,-9.97675800797595,-10.278008373725665,-10.26353772308672,-9.89556504212218,-10.22079970768783,-10.550054591360379,-10.303956940269593,-10.486288722224177,-10.22079970768783,-10.550054591360379
16,17,Crit3,3,WhQ-One,WhQ,One,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어만 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기 중에 잉어만 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.687359539403088,-13.827595215229376,-9.70551304245007,-12.067871048118993,-10.738647234693554,-12.858360190369586,-9.541313380392062,-11.612046635699082,-9.541313380392062,-11.612046635699082,-11.467673879273596,-12.958505973561023
17,18,Crit3,3,WhQ-Both,WhQ,Both,창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: ,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,잉어 잡았어.,잉어는 잡았어.,잉어랑 메기를 둘 다 잡았어.,잉어만 잡았어.,잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어만 잡았어.,창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,나영이는 태연이가 잉어와 메기를 둘 다 잡았다고 답하려고 합니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어랑 메기를 둘 다 잡았어.,-11.687359539403088,-13.706298935804359,-9.70551304245007,-12.019885043294199,-10.738647234693554,-12.868432630115729,-11.467673879273596,-12.841465682568156,-9.541313380392062,-11.523514527997092,-11.467673879273596,-12.841465682568156
24,25,Crit4,4,WhQ-One,WhQ,One,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발만 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발만 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발만 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-13.140119083931758,-13.345359007123875,-11.201663797847752,-11.2255376568267,-11.257831206075071,-11.432548252153897,-11.067033749904398,-10.95225513846227,-11.067033749904398,-10.95225513846227,-12.804630106423401,-13.362506450716456
25,26,Crit4,4,WhQ-Both,WhQ,Both,지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: ,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,신발 샀어.,신발은 샀어.,신발이랑 가방을 둘 다 샀어.,신발만 샀어.,신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발만 샀어.,지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,태우는 슬기가 신발과 가방을 둘 다 샀다고 답하려고 합니다. 지윤: 슬기는 뭘 샀어? 태우: 신발이랑 가방을 둘 다 샀어.,-13.140119083931758,-13.726737271500582,-11.201663797847752,-11.529867877877516,-11.257831206075071,-11.450994190539458,-12.804630106423401,-13.416462724787927,-11.067033749904398,-11.31516867191251,-12.804630106423401,-13.416462724787927
32,33,Crit5,5,WhQ-One,WhQ,One,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-13.11504401216048,-13.972925778133064,-13.165447596253236,-14.418634486755794,-12.87969012760208,-13.993446947726596,-12.840978696625369,-13.807516632760146,-12.840978696625369,-13.807516632760146,-13.084456842101178,-14.215027758871353
33,34,Crit5,5,WhQ-Both,WhQ,Both,재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: ,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터만 탔어.,재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터랑 범퍼카를 둘 다 탔어.,-13.11504401216048,-13.591592730588454,-13.165447596253236,-14.072971286246501,-12.87969012760208,-13.601618510154731,-13.084456842101178,-13.761905886322543,-12.840978696625369,-13.403407608636488,-13.084456842101178,-13.761905886322543
