q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,context,speakerA,qud,speakerB,anchor,target,raw_logprob,normalized_logprob,normalized_surprisal
1,Crit1,1,whq-acc-negated,whq,acc,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,-80.44613202389183,-11.492304574841691,16.579890818509654
2,Crit1,1,whq-acc-repeated,whq,acc,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면도 먹었어.,-67.25183699610994,-11.208639499351657,16.17064862082679
3,Crit1,1,whq-acc-contradictory,whq,acc,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥을 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥을 먹었어.,라면만 먹었어.,-66.26626280907713,-11.044377134846188,15.933668122150054
4,Crit1,1,whq-nun-negated,whq,nun,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면은 안 먹었어.,-82.59869877318272,-11.799814110454674,17.023533300564573
5,Crit1,1,whq-nun-repeated,whq,nun,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,-65.74565830169921,-10.957609716949868,15.808489198640293
6,Crit1,1,whq-nun-contradictory,whq,nun,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,-65.84066287736236,-10.973443812893727,15.831332970335458
7,Crit1,1,whq-zero-negated,whq,zero,negated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면은 안 먹었어.,-80.59218461317334,-11.513169230453334,16.609992153690428
8,Crit1,1,whq-zero-repeated,whq,zero,repeated,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면도 먹었어.,-66.5608784027011,-11.093479733783518,16.0045081981317
9,Crit1,1,whq-zero-contradictory,whq,zero,contradictory,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다. 동욱: 정아는 뭘 먹었어? 지호: 김밥 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 뭘 먹었어?,지호,김밥 먹었어.,라면만 먹었어.,-65.49900725167905,-10.916501208613175,15.749182157524602
10,Crit1,1,linkedq-acc-negated,linkedq,acc,negated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥을 먹었어. 라면은 안 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥을 먹었어.,라면은 안 먹었어.,-81.50985494451304,-11.64426499207329,16.799123358861102
